"nom_loc","cve_col","nom_col","viviendas_totales","poblacion_total","pctj_mujeres","pctj_hombres","pctj_menores18","pctj_adultos18_59","pctj_60ymas","escolaridad_años_prom","nivel_escolaridad_prom"
"San José de Bácum","260120093432","CENTRO",1086,2862,"49.9%","50.1%","24.7%","53.6%","21.7%",9.2,"Secundaria"
"San José de Bácum","260120093433","TELESECUNDARIA",0,0,NA,NA,NA,NA,NA,NA,NA
"San José de Bácum","260120093434","ROSARIO OSUNA",253,647,"53.1%","46.9%","38.5%","58.7%","2.8%",9.6,"Secundaria"
"San José de Bácum","260120093435","AMPLIACION ROSARIO OSUNA",85,228,"47.1%","52.9%","38.2%","58.3%","3.5%",9.3,"Secundaria"
"Banámichi","2601300011047","NORTE",281,646,"49.5%","50.5%","35.1%","56.8%","8%",9,"Secundaria"
"Banámichi","2601300011048","CENTRO",115,208,"53.4%","46.6%","39.4%","35.1%","25.5%",9.8,"Secundaria"
"Banámichi","2601300011049","SUR",230,563,"50.9%","49.1%","34.5%","52.4%","13.1%",9.8,"Secundaria"
"Baviácora","2601400011050","LOMA NORTE",129,279,"51.9%","48.1%","41.9%","44.4%","13.6%",8,"Primaria"
"Baviácora","2601400011051","PANTEON",110,211,"51.6%","48.4%","46.9%","40.8%","12.3%",8.1,"Primaria"
"Baviácora","2601400011052","CENTRO",260,452,"47.4%","52.6%","39.8%","44%","16.2%",9.7,"Secundaria"
"Baviácora","2601400011053","SUR",308,721,"49.7%","50.3%","44.7%","46.9%","8.5%",9.6,"Secundaria"
"Baviácora","2601400012276","LOMA NORTE II",54,95,"44.9%","55.1%","48.4%","48.4%","3.2%",9.2,"Secundaria"
"Bavispe","260150001375","CENTRO",303,674,"47.6%","52.4%","44.7%","42.9%","12.5%",7.9,"Primaria"
"Benjamín Hill","2601600011195","FUNDO LEGAL",551,1248,"50.5%","49.5%","34.2%","48.4%","17.4%",9.2,"Secundaria"
"Benjamín Hill","2601600011196","FERROCARRIL",216,506,"50.8%","49.2%","30.6%","52.4%","17%",9.6,"Secundaria"
"Benjamín Hill","2601600011197","JESUS SIQUEIROS",369,923,"50.5%","49.5%","34.6%","51.4%","14.1%",8.8,"Primaria"
"Benjamín Hill","2601600011198","INFONAVIT SAN FERNANDO",8,22,"33.3%","66.7%","59.1%","40.9%","0%",9.2,"Secundaria"
"Benjamín Hill","2601600011199","SAN FERNANDO",673,1697,"50.3%","49.7%","35.7%","53.1%","11.2%",9.3,"Secundaria"
"Benjamín Hill","2601600011329","INFONAVIT",174,441,"51.4%","48.6%","36.3%","57.6%","6.1%",9.4,"Secundaria"
"Heroica Caborca","2601700011161","EL VENTARRON",37,100,"49.4%","50.6%","42%","58%","0%",9,"Secundaria"
"Heroica Caborca","2601700011214","NUEVA SANTA CECILIA",57,176,"54.5%","45.5%","38.1%","54.5%","7.4%",9.5,"Secundaria"
"Heroica Caborca","2601700011902","REAL DE LOS VIÑEDOS",5,17,"54.5%","45.5%","58.8%","41.2%","0%",6.8,"Primaria"
"Heroica Caborca","2601700011940","PALMA DORADA",370,1017,"49.6%","50.4%","38.5%","58.7%","2.8%",9.5,"Secundaria"
"Heroica Caborca","2601700012048","PALMA DORADA SECCION MALLORCA",650,1821,"50.5%","49.5%","41.4%","56.1%","2.6%",9.2,"Secundaria"
"Heroica Caborca","2601700012367","ROMANZA",253,641,"46.8%","53.2%","28.2%","57.7%","14%",10.1,"Secundaria"
"Heroica Caborca","2601700016234","JOAQUIN EMILIO FERRER",443,1343,"48.4%","51.6%","39.8%","57.3%","2.8%",9.5,"Secundaria"
"Heroica Caborca","2601700016235","QUINTA REAL",8,6,"0%","100%","16.7%","83.3%","0%",6,"Primaria"
"Heroica Caborca","2601700016236","ARMANDO REYNA",47,107,"48.6%","51.4%","42.1%","57.9%","0%",9.2,"Secundaria"
"Heroica Caborca","2601700016324","A LA EDUCACION",55,177,"50.8%","49.2%","41.8%","55.4%","2.8%",11.9,"Secundaria"
"Heroica Caborca","2601700016371","MISIONEROS",55,80,"43.8%","56.2%","40%","50%","10%",10.6,"Secundaria"
"Heroica Caborca","2601700016404","SAN RAFAEL",341,912,"51.8%","48.2%","29.2%","57.6%","13.3%",9.7,"Secundaria"
"Heroica Caborca","2601700016408","LIZARRAGA",598,1782,"50.5%","49.5%","32.7%","57.8%","9.5%",9.3,"Secundaria"
"Heroica Caborca","2601700016412","LA HUERTA 2",45,106,"56.2%","43.8%","48.1%","51.9%","0%",9.9,"Secundaria"
"Heroica Caborca","2601700016414","PALO VERDE",231,625,"51.5%","48.5%","50.4%","46.9%","2.7%",7.7,"Primaria"
"Heroica Caborca","2601700016435","BICENTENARIO RESIDENCIAL",785,2333,"50%","50%","40.5%","58%","1.6%",10.5,"Secundaria"
"Heroica Caborca","260170001911","LA HUERTA",553,1607,"50.8%","49.2%","38.1%","57.6%","4.3%",8.8,"Primaria"
"Heroica Caborca","260170001912","AVIACION",1237,3513,"50.5%","49.5%","33.6%","57%","9.4%",9.3,"Secundaria"
"Heroica Caborca","260170001913","INDUSTRIAL",527,1414,"50%","50%","35.1%","55.5%","9.4%",10.7,"Secundaria"
"Heroica Caborca","260170001915","FRANCISCO VILLA",84,211,"47.8%","52.2%","43.1%","56.9%","0%",10.4,"Secundaria"
"Heroica Caborca","260170001917","CONTRERAS",526,1485,"52.7%","47.3%","40.1%","55.1%","4.8%",9.4,"Secundaria"
"Heroica Caborca","260170001919","TIERRA BLANCA",8,23,"47.8%","52.2%","30.4%","69.6%","0%",10,"Secundaria"
"Heroica Caborca","260170001920","FERNANDO HONORATO PINO",105,276,"45.7%","54.3%","42.4%","53.6%","4%",8.8,"Primaria"
"Heroica Caborca","260170001928","EL ALTO",474,970,"54.9%","45.1%","21.5%","50%","28.5%",11.7,"Secundaria"
"Heroica Caborca","260170001930","LA GRANJA",820,2147,"52.5%","47.5%","27.8%","59.3%","12.9%",11.6,"Secundaria"
"Heroica Caborca","260170001932","PAGASA",588,1293,"50.7%","49.3%","25.6%","53.2%","21.2%",10.4,"Secundaria"
"Heroica Caborca","260170001935","DOCTORES",563,1609,"48.9%","51.1%","23.1%","61%","16%",11.7,"Secundaria"
"Heroica Caborca","260170001936","JARDINES",185,457,"50.4%","49.6%","25.6%","54.9%","19.5%",11.6,"Secundaria"
"Heroica Caborca","260170001938","PUEBLO VIEJO",372,1080,"50.9%","49.1%","31.5%","59.1%","9.4%",11.3,"Secundaria"
